id_municipio;uf;municipio;longitude;latitude;codigo_ibge
197;AP;PEDRA BRANCA DO AMAPARÍ;-51,950306;0,777424;
1914;MG;PEDRA DO ANTA;-42,712291;-20,596784;
1915;MG;PEDRA DO INDAIÁ;-45,210653;-20,256346;314890
1916;MG;PEDRA DOURADA;-42,151502;-20,826627;
3764;RN;PEDRA GRANDE;-35,876018;-5,149882;
2681;PB;PEDRA LAVRADA;-36,475813;-6,749974;251110
4704;SE;PEDRA MOLE;-37,692189;-10,613439;
2356;MT;PEDRA PRETA;-54,47218;-16,624505;240960
3765;RN;PEDRA PRETA;-36,108367;-5,573524;240960
1917;MG;PEDRALVA;-45,465386;-22,238645;
5149;SP;PEDRANÓPOLIS;-50,112937;-20,247378;353690
498;BA;PEDRÃO;-38,648715;-12,14914;
5637;RS;PEDRAS ALTAS;-53,581437;-31,736539;
2682;PB;PEDRAS DE FOGO;-35,106464;-7,391069;251120
1918;MG;PEDRAS DE MARIA DA CRUZ;-44,391046;-15,603244;
4552;SC;PEDRAS GRANDES;-49,19491;-28,433862;
5150;SP;PEDREGULHO;-47,47745;-20,253468;
5151;SP;PEDREIRA;-46,894846;-22,741347;353710
1264;MA;PEDREIRAS;-44,600637;-4,564817;
4705;SE;PEDRINHAS;-37,67749;-11,190174;
5152;SP;PEDRINHAS PAULISTA;-50,793287;-22,817378;353715
1919;MG;PEDRINÓPOLIS;-47,457888;-19,224098;
5472;TO;PEDRO AFONSO;-48,172942;-8,970341;
499;BA;PEDRO ALEXANDRE;-37,893178;-10,012005;
3766;RN;PEDRO AVELINO;-36,386653;-5,516099;
861;ES;PEDRO CANÁRIO;-39,957365;-18,300418;
5153;SP;PEDRO DE TOLEDO;-47,23537;-24,276391;353720
1265;MA;PEDRO DO ROSÁRIO;-45,349316;-2,972719;
2255;MS;PEDRO GOMES;-54,550663;-18,099622;500640
3106;PI;PEDRO II;-41,448184;-4,425845;220790
3107;PI;PEDRO LAURENTINO;-42,284744;-8,068068;
1920;MG;PEDRO LEOPOLDO;-44,038258;-19,630811;314930
4185;RS;PEDRO OSÓRIO;-52,818389;-31,864243;
2683;PB;PEDRO RÉGIS;-35,296567;-6,633226;251272
1921;MG;PEDRO TEIXEIRA;-43,742949;-21,70763;
3767;RN;PEDRO VELHO;-35,219539;-6,4356;240980
5473;TO;PEIXE;-48,539508;-12,025425;171660
2491;PA;PEIXE-BOI;-47,324031;-1,193824;
2357;MT;PEIXOTO DE AZEVEDO;-54,979376;-10,226168;510642
4186;RS;PEJUÇARA;-53,657854;-28,428256;
4187;RS;PELOTAS;-52,337058;-31,764898;
757;CE;PENAFORTE;-39,070724;-7,82163;231060
1266;MA;PENALVA;-45,176808;-3,276744;
5154;SP;PENÁPOLIS;-50,076855;-21,414765;353730
3768;RN;PENDÊNCIAS;-36,70955;-5,2564;240990
96;AL;PENEDO;-36,581905;-10,287422;270670
4553;SC;PENHA;-48,646525;-26,775418;421250
758;CE;PENTECOSTE;-39,269159;-3,792736;231070
1922;MG;PEQUERI;-43,114487;-21,834113;
1923;MG;PEQUI;-44,660434;-19,628365;314960
5474;TO;PEQUIZEIRO;-48,93269;-8,593204;
1924;MG;PERDIGÃO;-45,077988;-19,941058;
1925;MG;PERDIZES;-47,296299;-19,343379;314980
1926;MG;PERDÕES;-45,089582;-21,093225;
5155;SP;PEREIRA BARRETO;-51,112268;-20,636767;353740
5156;SP;PEREIRAS;-47,972005;-23,08037;353750
759;CE;PEREIRO;-38,462397;-6,035761;231080
1267;MA;PERI MIRIM;-44,850385;-2,576762;
1927;MG;PERIQUITO;-42,233341;-19,157331;
4554;SC;PERITIBA;-51,901793;-27,375449;
1268;MA;PERITORÓ;-44,336909;-4,374589;
3434;PR;PEROBAL;-53,409838;-23,894861;411885
3435;PR;PÉROLA;-53,683353;-23,803898;411890
3436;PR;PÉROLA D`OESTE;-53,744742;-25,820958;
1060;GO;PEROLÂNDIA;-52,064987;-17,525835;521645
5157;SP;PERUÍBE;-47,0012;-24,311974;353760
1928;MG;PESCADOR;-41,600578;-18,356962;
2891;PE;PESQUEIRA;-36,697783;-8,357974;261090
2892;PE;PETROLÂNDIA;-38,302664;-9,068627;261100
4555;SC;PETROLÂNDIA;-49,693747;-27,53463;261100
2893;PE;PETROLINA;-40,502731;-9,388662;261110
1061;GO;PETROLINA DE GOIÁS;-49,336371;-16,096849;521680
3626;RJ;PETRÓPOLIS;-43,192613;-22,519963;330390
97;AL;PIAÇABUÇU;-36,433968;-10,405989;270680
5158;SP;PIACATU;-50,600343;-21,592142;353770
2684;PB;PIANCÓ;-37,92888;-7,192823;
500;BA;PIATÃ;-41,770177;-13,146549;
1929;MG;PIAU;-43,312992;-21,509645;
4188;RS;PICADA CAFÉ;-51,136725;-29,446421;
2492;PA;PIÇARRA;-48,871633;-6,437783;
3108;PI;PICOS;-41,467003;-7,077213;220800
2685;PB;PICUÍ;-36,349704;-6,508451;251140
5159;SP;PIEDADE;-47,425572;-23,713941;353780
1930;MG;PIEDADE DE CARATINGA;-42,075557;-19,759282;
1931;MG;PIEDADE DE PONTE NOVA;-42,737872;-20,243848;
1932;MG;PIEDADE DO RIO GRANDE;-44,193834;-21,469021;
1933;MG;PIEDADE DOS GERAIS;-44,224335;-20,471513;
3437;PR;PIÊN;-49,433565;-26,09647;
501;BA;PILÃO ARCADO;-42,493607;-10,005079;292440
98;AL;PILAR;-35,954294;-9,601348;251150
2686;PB;PILAR;-35,252326;-7,264034;251150
1062;GO;PILAR DE GOIÁS;-49,578356;-14,760837;
5160;SP;PILAR DO SUL;-47,722151;-23,807716;353790
2687;PB;PILÕES;-35,612974;-6,868269;241000
3769;RN;PILÕES;-38,04605;-6,263635;241000
2688;PB;PILÕEZINHOS;-35,531036;-6,842773;
1934;MG;PIMENTA;-45,804877;-20,482722;315050
3864;RO;PIMENTA BUENO;-61,197963;-11,671959;110018
3109;PI;PIMENTEIRAS;-41,411273;-6,238391;
3865;RO;PIMENTEIRAS DO OESTE;-61,047052;-13,482271;
502;BA;PINDAÍ;-42,685984;-14,492128;
5161;SP;PINDAMONHANGABA;-45,461264;-22,92463;353800
1269;MA;PINDARÉ-MIRIM;-45,341988;-3,609851;
99;AL;PINDOBA;-36,291829;-9,473822;
503;BA;PINDOBAÇU;-40,367472;-10,743338;
5162;SP;PINDORAMA;-48,90861;-21,1853;353810
5475;TO;PINDORAMA DO TOCANTINS;-47,57263;-11,131074;
760;CE;PINDORETAMA;-38,306118;-4,015839;231085
1935;MG;PINGO-D`ÁGUA;-42,407788;-19,727339;
3438;PR;PINHAIS;-49,19267;-25,442949;411915
4189;RS;PINHAL;-53,208185;-27,508022;
5656;RS;PINHAL DA SERRA;-51,167329;-27,875132;
3440;PR;PINHAL DE SÃO BENTO;-53,481998;-26,032422;
4190;RS;PINHAL GRANDE;-53,320649;-29,345;
3439;PR;PINHALÃO;-50,053571;-23,798176;411920
4557;SC;PINHALZINHO;-52,991268;-26,849546;421290
5163;SP;PINHALZINHO;-46,589679;-22,781115;421290
3441;PR;PINHÃO;-51,653595;-25,694388;280520
4706;SE;PINHÃO;-37,724246;-10,567664;280520
3627;RJ;PINHEIRAL;-44,002151;-22,517211;330395
4191;RS;PINHEIRINHO DO VALE;-53,608017;-27,210886;
1270;MA;PINHEIRO;-45,078825;-2,522244;
4192;RS;PINHEIRO MACHADO;-53,379789;-31,57944;
4558;SC;PINHEIRO PRETO;-51,224249;-27,048318;
862;ES;PINHEIROS;-40,217142;-18,414068;
504;BA;PINTADAS;-39,900859;-11,811712;
1936;MG;PINTÓPOLIS;-45,14017;-16,057205;
3110;PI;PIO IX;-40,608301;-6,830017;220820
1271;MA;PIO XII;-45,175942;-3,893151;
5164;SP;PIQUEROBI;-51,728164;-21,874671;
761;CE;PIQUET CARNEIRO;-39,417017;-5,800251;231090
5165;SP;PIQUETE;-45,186919;-22,606881;353850
5166;SP;PIRACAIA;-46,359374;-23,052545;353860
1063;GO;PIRACANJUBA;-49,01701;-17,302038;521710
1937;MG;PIRACEMA;-44,478323;-20,508866;
5167;SP;PIRACICABA;-47,647612;-22,733801;353870
3111;PI;PIRACURUCA;-41,708779;-3,93335;220830
3628;RJ;PIRAÍ;-43,908071;-22,621497;330400
505;BA;PIRAÍ DO NORTE;-39,383592;-13,758962;
3442;PR;PIRAÍ DO SUL;-49,943312;-24,530637;
5168;SP;PIRAJU;-49,380335;-23,198066;353880
1938;MG;PIRAJUBA;-48,70269;-19,909206;315070
5169;SP;PIRAJUÍ;-49,460777;-21,998986;353890
4707;SE;PIRAMBU;-36,854427;-10,721516;
1939;MG;PIRANGA;-43,296701;-20,683407;
5170;SP;PIRANGI;-48,660733;-21,0886;353900
1940;MG;PIRANGUÇU;-45,494528;-22,524932;
1941;MG;PIRANGUINHO;-45,532405;-22,394961;
100;AL;PIRANHAS;-37,756987;-9,623996;521720
1064;GO;PIRANHAS;-51,823472;-16,425807;521720
1272;MA;PIRAPEMAS;-44,221632;-3,720412;210880
1942;MG;PIRAPETINGA;-42,34339;-21,655434;
4193;RS;PIRAPÓ;-55,20013;-28,043888;
1943;MG;PIRAPORA;-44,934009;-17,33917;315120
5171;SP;PIRAPORA DO BOM JESUS;-46,999103;-23,396487;
5172;SP;PIRAPOZINHO;-51,497635;-22,271125;353920
3443;PR;PIRAQUARA;-49,062411;-25,442171;
5476;TO;PIRAQUÊ;-48,295796;-6,77302;171720
5173;SP;PIRASSUNUNGA;-47,425746;-21,995982;353930
4194;RS;PIRATINI;-53,097296;-31,447291;
5174;SP;PIRATININGA;-49,133869;-22,41416;353940
4559;SC;PIRATUBA;-51,766834;-27,424228;
1944;MG;PIRAÚBA;-43,017218;-21,282492;315130
1065;GO;PIRENÓPOLIS;-48,95843;-15,8507;521730
1066;GO;PIRES DO RIO;-48,276756;-17,301901;521740
762;CE;PIRES FERREIRA;-40,64418;-4,239218;
506;BA;PIRIPÁ;-41,716841;-14,944379;292470
3112;PI;PIRIPIRI;-41,771569;-4,271574;220840
507;BA;PIRITIBA;-40,558739;-11,730008;
2689;PB;PIRPIRITUBA;-35,490558;-6,779222;
3444;PR;PITANGA;-51,759645;-24,758773;
3445;PR;PITANGUEIRAS;-51,587277;-23,228134;353950
5175;SP;PITANGUEIRAS;-48,220951;-21,013203;353950
1945;MG;PITANGUI;-44,896362;-19,674112;315140
2690;PB;PITIMBU;-34,815133;-7,466398;251190
5477;TO;PIUM;-49,187619;-10,442025;
863;ES;PIÚMA;-40,726813;-20,833433;
1946;MG;PIUMHI;-45,95891;-20,47623;315150
2493;PA;PLACAS;-54,212371;-3,868131;150565
14;AC;PLÁCIDO DE CASTRO;-67,137133;-10,28064;120038
5718;DF;PLANALTINA;-47,6521514;-15,6216249;521760
1067;GO;PLANALTINA;-47,608885;-15,452033;521760
3446;PR;PLANALTINA DO PARANÁ;-52,916242;-23,010146;411970
508;BA;PLANALTINO;-40,369519;-13,261789;
509;BA;PLANALTO;-40,471843;-14,66537;292500
3447;PR;PLANALTO;-53,764234;-25,721135;292500
4195;RS;PLANALTO;-53,05753;-27,329695;292500
5176;SP;PLANALTO;-49,933034;-21,034249;292500
4560;SC;PLANALTO ALEGRE;-52,86699;-27,070423;
2358;MT;PLANALTO DA SERRA;-54,781857;-14,651773;
1947;MG;PLANURA;-48,700001;-20,137601;315160
5177;SP;PLATINA;-50,210422;-22,637142;
